analysis_time_s,artifact_id,case_id,coordinate_frame,field_id,mesh_id,native_bundle_status,native_time_s,processing_status,project_id,quality_flag,quantity,raw_column,run_id,sample_id,scalar_value,solver_name,solver_version,source_file_sha256,support_id,support_type,time_basis,transform_id,unit,unit_conversion,x_m,y_m,z_m
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,U_x_m_s,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,velocity_x,U_x_m_s,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:0:row,0.0,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,m/s,identity,0.0,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,U_y_m_s,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,velocity_y,U_y_m_s,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:0:row,0.0,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,m/s,identity,0.0,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,U_z_m_s,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,velocity_z,U_z_m_s,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:0:row,0.0,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,m/s,identity,0.0,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,vorticity_s_1,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,vorticity,vorticity_s_1,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:0:row,0.0,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,s^-1,identity,0.0,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,temperature_K,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,temperature,temperature_K,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:0:row,293.15,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,K,identity,0.0,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,pressure_Pa,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,pressure,pressure_Pa,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:0:row,101325.0,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,Pa,identity,0.0,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,U_x_m_s,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,velocity_x,U_x_m_s,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:1:row,0.35,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,m/s,identity,0.5,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,U_y_m_s,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,velocity_y,U_y_m_s,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:1:row,0.01,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,m/s,identity,0.5,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,U_z_m_s,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,velocity_z,U_z_m_s,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:1:row,0.04,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,m/s,identity,0.5,0.0,0.5
0.0,OPENFOAM-POINT-FIXTURE,FIXTURE-P0-P1-001,facility-rhs-z-up,vorticity_s_1,not-recorded-fixture,missing,0.0,raw,AERIS-DRONE-PHYSICAL-FIELD,valid,vorticity,vorticity_s_1,ADAPTER-DEMO-R01,OPENFOAM-POINT-FIXTURE:1:row,24.0,OpenFOAM,not-recorded-fixture,0b7c10813332d258f079b70381e659f25f527721202463bc01f804ac3d039f13,,point,event-clock-s,survey-transform-v1,s^-1,identity,0.5,0.0,0.5
